Number-of-branches False-positive-rate-(%) Number-of-hash-functions Bloom-filter-size-(KB)
64 26 2 0.0224609
64 27 2 0.0214844
64 28 2 0.0214844
64 29 2 0.0205078
64 30 2 0.0205078
64 31 2 0.0195312
64 32 2 0.0195312
64 33 2 0.0185547
64 34 2 0.0185547
64 35 2 0.0175781
64 36 2 0.0175781
64 37 2 0.0166016
64 38 2 0.0166016
64 39 2 0.0166016
64 40 2 0.015625
64 41 2 0.015625
64 42 2 0.0146484
64 43 2 0.0146484
64 44 2 0.0136719
64 45 2 0.0136719
64 46 2 0.0126953
64 47 2 0.0126953
64 48 2 0.0126953
64 49 2 0.0117188
64 50 2 0.0117188
64 51 2 0.0117188
64 52 2 0.0107422
64 53 2 0.0107422
64 54 2 0.0107422
64 55 2 0.00976562
64 56 2 0.00976562
64 57 2 0.00976562
64 58 2 0.00976562
64 59 2 0.00878906
64 60 2 0.00878906
64 61 2 0.00878906
64 62 2 0.00878906
64 63 2 0.0078125
64 64 2 0.0078125
64 65 2 0.0078125
64 66 2 0.0078125
64 67 2 0.0078125
64 68 2 0.00683594
64 69 2 0.00683594
64 70 2 0.00683594
64 71 2 0.00683594
64 72 2 0.00683594
64 73 2 0.00585938
64 74 2 0.00585938
64 75 2 0.00585938
64 76 2 0.00585938
64 77 2 0.00585938
64 78 2 0.00585938
64 79 2 0.00585938
64 80 2 0.00488281
64 81 2 0.00488281
64 82 2 0.00488281
64 83 2 0.00488281
64 84 2 0.00488281
64 85 2 0.00488281
64 86 2 0.00390625
64 87 2 0.00390625
64 88 2 0.00390625
64 89 2 0.00390625
64 90 2 0.00390625
64 91 2 0.00390625
64 92 2 0.00390625
64 93 2 0.00292969
64 94 2 0.00292969
64 95 2 0.00292969
64 96 2 0.00292969
64 97 2 0.00292969
64 98 2 0.00195312
64 99 2 0.00195312
64 100 2 0.00012207
128 1 7 0.150391
128 2 6 0.12793
128 3 5 0.114258
128 4 5 0.105469
128 5 4 0.0976562
128 6 4 0.0917969
128 7 4 0.0869141
128 8 4 0.0830078
128 9 4 0.0791016
128 10 3 0.0751953
128 11 3 0.0722656
128 12 3 0.0693359
128 13 3 0.0664062
128 14 3 0.0644531
128 15 3 0.0625
128 16 3 0.0605469
128 17 3 0.0585938
128 18 3 0.0566406
128 19 2 0.0546875
128 20 2 0.0527344
128 21 2 0.0517578
128 22 2 0.0498047
128 23 2 0.0478516
128 24 2 0.046875
128 25 2 0.0458984
128 26 2 0.0439453
128 27 2 0.0429688
128 28 2 0.0419922
128 29 2 0.0410156
128 30 2 0.0400391
128 31 2 0.0390625
128 32 2 0.0380859
128 33 2 0.0371094
128 34 2 0.0361328
128 35 2 0.0351562
128 36 2 0.0341797
128 37 2 0.0341797
128 38 2 0.0332031
128 39 2 0.0322266
128 40 2 0.03125
128 41 2 0.0302734
128 42 2 0.0292969
128 43 2 0.0283203
128 44 2 0.0273438
128 45 2 0.0263672
128 46 2 0.0253906
128 47 2 0.0253906
128 48 2 0.0244141
128 49 2 0.0234375
128 50 2 0.0224609
128 51 2 0.0224609
128 52 2 0.0214844
128 53 2 0.0214844
128 54 2 0.0205078
128 55 2 0.0195312
128 56 2 0.0195312
128 57 2 0.0185547
128 58 2 0.0185547
128 59 2 0.0175781
128 60 2 0.0175781
128 61 2 0.0166016
128 62 2 0.0166016
128 63 2 0.015625
128 64 2 0.015625
128 65 2 0.015625
128 66 2 0.0146484
128 67 2 0.0146484
128 68 2 0.0136719
128 69 2 0.0136719
128 70 2 0.0136719
128 71 2 0.0126953
128 72 2 0.0126953
128 73 2 0.0126953
128 74 2 0.0117188
128 75 2 0.0117188
128 76 2 0.0117188
128 77 2 0.0107422
128 78 2 0.0107422
128 79 2 0.0107422
128 80 2 0.00976562
128 81 2 0.00976562
128 82 2 0.00976562
128 83 2 0.00878906
128 84 2 0.00878906
128 85 2 0.00878906
128 86 2 0.00878906
128 87 2 0.0078125
128 88 2 0.0078125
128 89 2 0.0078125
128 90 2 0.00683594
128 91 2 0.00683594
128 92 2 0.00683594
128 93 2 0.00585938
128 94 2 0.00585938
128 95 2 0.00585938
128 96 2 0.00488281
128 97 2 0.00488281
128 98 2 0.00390625
128 99 2 0.00390625
128 100 2 0.00012207
256 1 7 0.299805
256 2 6 0.254883
256 3 5 0.228516
256 4 5 0.209961
256 5 4 0.195312
256 6 4 0.183594
256 7 4 0.173828
256 8 4 0.165039
256 9 4 0.158203
256 10 3 0.150391
256 11 3 0.144531
256 12 3 0.138672
256 13 3 0.132812
256 14 3 0.12793
256 15 3 0.124023
256 16 3 0.120117
256 17 3 0.116211
256 18 3 0.113281
256 19 2 0.109375
256 20 2 0.105469
256 21 2 0.102539
256 22 2 0.0986328
256 23 2 0.0957031
256 24 2 0.0927734
256 25 2 0.0908203
256 26 2 0.0878906
256 27 2 0.0859375
256 28 2 0.0830078
256 29 2 0.0810547
256 30 2 0.0791016
256 31 2 0.0771484
256 32 2 0.0751953
256 33 2 0.0732422
256 34 2 0.0722656
256 35 2 0.0703125
256 36 2 0.0683594
256 37 2 0.0673828
256 38 2 0.0654297
256 39 2 0.0634766
256 40 2 0.0615234
256 41 2 0.0595703
256 42 2 0.0576172
256 43 2 0.0556641
256 44 2 0.0546875
256 45 2 0.0527344
256 46 2 0.0507812
256 47 2 0.0498047
256 48 2 0.0478516
256 49 2 0.046875
256 50 2 0.0458984
256 51 2 0.0439453
256 52 2 0.0429688
256 53 2 0.0419922
256 54 2 0.0410156
256 55 2 0.0390625
256 56 2 0.0380859
256 57 2 0.0371094
256 58 2 0.0361328
256 59 2 0.0351562
256 60 2 0.0341797
256 61 2 0.0332031
256 62 2 0.0322266
256 63 2 0.0322266
256 64 2 0.03125
256 65 2 0.0302734
256 66 2 0.0292969
256 67 2 0.0283203
256 68 2 0.0273438
256 69 2 0.0273438
256 70 2 0.0263672
